Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","73","Géorgie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","4015.45","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","73","Géorgie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","4008.716","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","81","Ghana","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","28481.945","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","81","Ghana","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","29121.465","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","82","Gibraltar","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","33.737","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","82","Gibraltar","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","33.728","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","84","Grèce","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","10615.185","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","84","Grèce","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","10569.45","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","86","Grenade","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","110.261","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","86","Grenade","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","110.874","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","85","Groenland","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","56.412","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","85","Groenland","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","56.481","X","Sources internationales sûres",""
