Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","7","Angola","645","Disponibilité alimentaire en quantité (kg/personne/an)","2763","Poissons Pelagiques","2017","2017","kg","12.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2763","Poissons Pelagiques","2016","2016","Kcal/personne/jour","24","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2763","Poissons Pelagiques","2017","2017","Kcal/personne/jour","27","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2763","Poissons Pelagiques","2016","2016","g/personne/jour","3.38","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2763","Poissons Pelagiques","2017","2017","g/personne/jour","3.9","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2763","Poissons Pelagiques","2016","2016","g/personne/jour","1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2763","Poissons Pelagiques","2017","2017","g/personne/jour","1.15","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5511","Production","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0.06","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5511","Production","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0.06","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5611","Importations - Quantité","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0.83","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5611","Importations - Quantité","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0.98","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5072","Variation de stock","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5072","Variation de stock","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5911","Exportations - Quantité","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5911","Exportations - Quantité","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0.89","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","1.05","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5521","Aliments pour animaux","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0.03","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5521","Aliments pour animaux","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0.02","Im","Données de la FAO basées sur une méthodologie d'imputation"
